"destination","commercial.flag","city","region","country","fligh.direction","flight.type","date","date.year","nbr.of.passengers","cargo.weight","nbr.of.flights","seat.capacity"
"Al-Fujairah","Commercial","Al-Fujairah","","United Arab Emirates","Outgoing","Non Scheduled",2008-08-01,2008,0,0,1,0
"Al-Fujairah","Commercial","Al-Fujairah","","United Arab Emirates","Incoming","Non Scheduled",2008-08-01,2008,0,0,2,0
"Al-Fujairah","Commercial","Al-Fujairah","","United Arab Emirates","Incoming","Non Scheduled",2009-10-01,2009,0,0,1,211
"Alghero","Commercial","Alghero","","Italy","Incoming","Non Scheduled",2009-06-01,2009,0,0,1,0
"Alghero","Commercial","Alghero","","Italy","Incoming","Non Scheduled",2011-07-01,2011,0,0,1,0
"Alghero","Commercial","Alghero","","Italy","Outgoing","Non Scheduled",2008-09-01,2008,0,0,1,0
"Alghero","Commercial","Alghero","","Italy","Outgoing","Non Scheduled",2008-08-01,2008,0,0,1,0
"Alghero","Commercial","Alghero","","Italy","Incoming","Non Scheduled",2010-10-01,2010,0,0,1,0
"Alicante","Commercial","Alicante","Spain LE","Spain","Incoming","Scheduled",2012-04-01,2012,1192,0,9,1701
"Alicante","Commercial","Alicante","Spain LE","Spain","Incoming","Scheduled",2012-06-01,2012,1271,0,9,1701
"Alicante","Commercial","Alicante","Spain LE","Spain","Outgoing","Scheduled",2012-06-01,2012,1437,0,9,1701
"Alicante","Commercial","Alicante","Spain LE","Spain","Outgoing","Non Scheduled",2012-05-01,2012,49,0,1,50
"Alicante","Commercial","Alicante","Spain LE","Spain","Outgoing","Scheduled",2012-03-01,2012,151,0,2,378
"Alicante","Commercial","Alicante","Spain LE","Spain","Outgoing","Non Scheduled",2011-05-01,2011,96,0,1,121
"Alicante","Commercial","Alicante","Spain LE","Spain","Incoming","Non Scheduled",2011-05-01,2011,96,0,1,121
"Alicante","Commercial","Alicante","Spain LE","Spain","Incoming","Non Scheduled",2012-05-01,2012,49,0,1,50
"Alicante","Commercial","Alicante","Spain LE","Spain","Outgoing","Scheduled",2012-04-01,2012,1300,0,9,1701
"Alicante","Commercial","Alicante","Spain LE","Spain","Incoming","Scheduled",2012-05-01,2012,1018,0,8,1512
"Alicante","Commercial","Alicante","Spain LE","Spain","Outgoing","Non Scheduled",2008-03-01,2008,161,0,1,170
"Alicante","Commercial","Alicante","Spain LE","Spain","Incoming","Non Scheduled",2008-03-01,2008,160,0,1,189
"Alicante","Commercial","Alicante","Spain LE","Spain","Outgoing","Scheduled",2012-05-01,2012,1099,0,8,1512
"Alicante","Commercial","Alicante","Spain LE","Spain","Incoming","Scheduled",2012-03-01,2012,157,0,3,567
"Almeria","Commercial","Almeria","Spain LE","Spain","Outgoing","Non Scheduled",2007-03-01,2007,106,0,1,145
"Almeria","Commercial","Almeria","Spain LE","Spain","Outgoing","Non Scheduled",2012-02-01,2012,175,0,1,180
"Almeria","Commercial","Almeria","Spain LE","Spain","Outgoing","Non Scheduled",2011-03-01,2011,174,0,1,189
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Non Scheduled",2007-11-01,2007,0,0,1,0
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2011-12-01,2011,1247,8390,13,1549
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2011-05-01,2011,477,5107,10,1174
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2007-09-01,2007,438,0,9,450
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2009-01-01,2009,237,0,8,770
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2009-07-01,2009,918,0,9,1111
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2009-12-01,2009,384,0,6,852
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2010-05-01,2010,531,0,9,1135
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2012-02-01,2012,72,3429,1,168
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2011-08-01,2011,1559,10631,18,2118
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2008-11-01,2008,536,0,9,860
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2009-07-01,2009,710,0,9,1111
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2009-12-01,2009,328,0,6,852
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2010-07-01,2010,1190,0,14,1669
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2010-09-01,2010,1150,0,13,1572
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2010-05-01,2010,679,0,10,1303
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2011-09-01,2011,1049,18909,18,2296
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2008-06-01,2008,630,0,9,900
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2008-11-01,2008,408,0,9,860
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2009-05-01,2009,399,0,10,910
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2009-08-01,2009,452,0,8,896
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2009-10-01,2009,817,0,9,1155
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2010-04-01,2010,496,0,8,1203
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2008-12-01,2008,373,0,9,890
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2009-06-01,2009,306,0,8,872
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2010-12-01,2010,674,0,11,1330
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2010-01-01,2010,426,0,7,858
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2008-04-01,2008,583,0,8,800
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2008-12-01,2008,404,0,9,890
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2010-11-01,2010,864,0,13,1678
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2010-06-01,2010,788,0,12,1356
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2011-06-01,2011,869,3567,15,2227
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2007-03-01,2007,26,0,1,190
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2008-08-01,2008,841,0,10,1000
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2010-11-01,2010,1178,0,13,1725
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2010-03-01,2010,509,0,9,1135
"Amman/Queen Alia","Commercial","Amman","","Jordan","Incoming","Scheduled",2010-02-01,2010,383,0,6,761
"Amman/Queen Alia","Commercial","Amman","","Jordan","Outgoing","Scheduled",2007-11-01,2007,474,0,9,900
